Interview Id,Interview Name,Interview Owner Id,Client Id,Candidate Id,Job Opening Id,Application ID,From,To,Interview Type,Interview Status,Batch Name,Cancellation Reason,Feedback,Created Time
Zrecruit_159941000008804994,Online Interview,Riddhi Rane,Zrecruit_159941000008740200,159941000008404802,Zrecruit_159941000008740204,Zrecruit_159941000008734079,17/04/2026 11:20 AM,17/04/2026 11:50 AM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,16/04/2026 07:22 PM
Zrecruit_159941000008800873,Assignment Round,Dania Assadi,Zrecruit_159941000001321194,159941000008274655,Zrecruit_159941000008742317,Zrecruit_159941000008742619,16/04/2026 06:00 PM,16/04/2026 06:30 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,15/04/2026 07:07 PM
Zrecruit_159941000008772241,Telephonic Interview,Dania Assadi,Zrecruit_159941000001321194,159941000008274655,Zrecruit_159941000008742317,Zrecruit_159941000008742619,14/04/2026 04:00 PM,14/04/2026 04:30 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,14/04/2026 01:26 PM
Zrecruit_159941000008708428,HR Round (Offline),Dania Assadi,Zrecruit_159941000008435979,159941000008274655,Zrecruit_159941000008444004,Zrecruit_159941000008436167,09/04/2026 2:00 PM,09/04/2026 2:30 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,08/04/2026 4:11 PM
Zrecruit_159941000008655199,Telephonic Interview,Gemini Patel,Zrecruit_159941000000618369,159941000008576300,Zrecruit_159941000008622638,Zrecruit_159941000008620367,02/04/2026 1:00 PM,02/04/2026 2:00 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,02/04/2026 11:54 AM
Zrecruit_159941000008634670,Online Interview,Riddhi Rane,Zrecruit_159941000006981764,159941000008274655,Zrecruit_159941000008634100,Zrecruit_159941000008641192,01/04/2026 11:00 AM,01/04/2026 1:00 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,31/03/2026 07:32 PM
Zrecruit_159941000008621009,HR Round (Offline),Dania Assadi,Zrecruit_159941000000606385,159941000008274655,Zrecruit_159941000008500408,Zrecruit_159941000008499425,01/04/2026 11:00 AM,01/04/2026 11:30 AM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,30/03/2026 03:22 PM
Zrecruit_159941000008601935,Technical Round,Gemini Patel,Zrecruit_159941000000614094,159941000008404802,Zrecruit_159941000008438297,Zrecruit_159941000008439380,27/03/2026 06:00 PM,27/03/2026 07:00 PM,Adhoc Interview,On-Hold,ACDM & PCDMS August 2025 Batch 2 - 508,,awaiting feedback.,27/03/2026 06:20 PM
Zrecruit_159941000008597581,Telephonic Interview,Riddhi Rane,Zrecruit_159941000008502194,159941000008404826,Zrecruit_159941000008502202,Zrecruit_159941000008538347,27/03/2026 07:00 PM,27/03/2026 07:30 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 1 - 506,Job opening closed,,27/03/2026 06:54 PM
Zrecruit_159941000008594936,Technical Round,Gemini Patel,Zrecruit_159941000000648674,159941000008576300,Zrecruit_159941000008396502,Zrecruit_159941000008594759,28/03/2026 12:00 PM,28/03/2026 12:30 PM,In-person Interview,,ACDM & PCDMS August 2025 Batch 2 - 508,,,27/03/2026 03:00 PM
Zrecruit_159941000008594806,Technical Round,Gemini Patel,Zrecruit_159941000000648674,159941000008576300,Zrecruit_159941000008396502,Zrecruit_159941000008594759,28/03/2026 12:00 PM,28/03/2026 12:30 PM,In-person Interview,,ACDM & PCDMS August 2025 Batch 2 - 508,,,27/03/2026 01:36 PM
Zrecruit_159941000008594490,Aptitude Round,Gemini Patel,Zrecruit_159941000000648674,159941000008316479,Zrecruit_159941000008396502,Zrecruit_159941000008594452,20/03/2026 12:00 PM,20/03/2026 12:30 PM,Adhoc Interview,Rejected,ACDM & PCDMS August 2025 Batch 2 - 508,,na,27/03/2026 12:50 PM
Zrecruit_159941000008567746,Technical Round,Aanchal Sharma,Zrecruit_159941000001407175,159941000008053079,Zrecruit_159941000008486918,Zrecruit_159941000008539101,25/03/2026 12:10 PM,25/03/2026 01:10 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Others,,25/03/2026 12:03 PM
Zrecruit_159941000008555695,Online Interview,Dania Assadi,Zrecruit_159941000008435979,159941000008274655,Zrecruit_159941000008444004,Zrecruit_159941000008436167,26/03/2026 12:00 PM,26/03/2026 12:30 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,25/03/2026 04:13 PM
Zrecruit_159941000008534316,Telephonic Interview,Dania Assadi,Zrecruit_159941000008500948,159941000008404802,Zrecruit_159941000008500962,Zrecruit_159941000008492531,24/03/2026 01:00 PM,24/03/2026 02:00 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,24/03/2026 12:15 PM
Zrecruit_159941000008534289,Telephonic Interview,Dania Assadi,Zrecruit_159941000008500948,159941000008373001,Zrecruit_159941000008500962,Zrecruit_159941000008499539,24/03/2026 01:00 PM,24/03/2026 02:00 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,24/03/2026 12:14 PM
Zrecruit_159941000008497716,Technical Round,Aanchal Sharma,Zrecruit_159941000003763419,159941000008404802,Zrecruit_159941000008444839,Zrecruit_159941000008461087,20/03/2026 11:00 AM,20/03/2026 11:30 AM,Adhoc Interview,Move to Next Round/Process,ACDM & PCDMS August 2025 Batch 2 - 508,,move to next round,20/03/2026 12:37 PM
Zrecruit_159941000008436576,Telephonic Interview,Dania Assadi,Zrecruit_159941000008362764,159941000008373001,Zrecruit_159941000008362788,Zrecruit_159941000008373203,18/03/2026 12:00 PM,18/03/2026 01:00 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,18/03/2026 11:03 AM
Zrecruit_159941000008399422,Telephonic Interview,Raj Pithadia,Zrecruit_159941000008278948,159941000008274655,Zrecruit_159941000008278956,Zrecruit_159941000008303001,12/03/2026 3:00 PM,12/03/2026 4:00 PM,Adhoc Interview,Move to Next Round/Process,ACDM & PCDMS August 2025 Batch 2 - 508,,Moved to next round and called for F2F on Monday.,14/03/2026 03:44 PM
Zrecruit_159941000008354558,Telephonic Interview,Raj Pithadia,Zrecruit_159941000008354202,159941000008274655,Zrecruit_159941000008354212,Zrecruit_159941000008362250,11/03/2026 2:30 PM,11/03/2026 3:00 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,10/03/2026 7:03 PM
Zrecruit_159941000008351786,Assignment Round,Dania Assadi,Zrecruit_159941000008250256,159941000008274655,Zrecruit_159941000008250387,Zrecruit_159941000008351742,12/03/2026 12:00 PM,12/03/2026 12:30 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,10/03/2026 4:09 PM
Zrecruit_159941000008213364,Telephonic Interview,Raj Pithadia,Zrecruit_159941000000612642,159941000007291071,Zrecruit_159941000006186703,Zrecruit_159941000007706455,16/02/2026 12:00 AM,16/02/2026 12:30 AM,Adhoc Interview,Rejected,ACDM & PCDMS August 2025 Batch 2 - 508,,Student rejected the offer as she got opportunity somewhere else.,23/02/2026 12:23 AM
Zrecruit_159941000008213242,Telephonic Interview,Raj Pithadia,Zrecruit_159941000008112396,159941000007724589,Zrecruit_159941000008112406,Zrecruit_159941000008129537,18/02/2026 12:00 AM,18/02/2026 12:30 AM,Adhoc Interview,Move to Next Round/Process,ACDM & PCDMS September 2025 Batch 2 - 514,,Waiting on her assignment feedback.,23/02/2026 12:18 AM
Zrecruit_159941000008213220,Telephonic Interview,Raj Pithadia,Zrecruit_159941000008112396,159941000007390550,Zrecruit_159941000008112406,Zrecruit_159941000008129538,18/02/2026 12:00 AM,18/02/2026 12:30 AM,Adhoc Interview,Rejected,ACDM & PCDMS September 2025 Batch 2 - 514,,Screen Reject,23/02/2026 12:15 AM
Zrecruit_159941000008213198,Telephonic Interview,Raj Pithadia,Zrecruit_159941000008112396,159941000007566275,Zrecruit_159941000008112406,Zrecruit_159941000008129539,18/02/2026 12:00 AM,18/02/2026 12:30 AM,Adhoc Interview,Rejected,ACDM & PCDMS September 2025 Batch 2 - 514,,Screen Reject,23/02/2026 12:14 AM
Zrecruit_159941000008211288,Telephonic Interview,Vidhi Yelkar,Zrecruit_159941000001685151,159941000007724589,Zrecruit_159941000008123041,Zrecruit_159941000008127572,19/02/2026 10:00 AM,19/02/2026 10:30 AM,Adhoc Interview,Move to Next Round/Process,ACDM & PCDMS September 2025 Batch 2 - 514,,interview to be scheduled next week,23/02/2026 10:41 AM
Zrecruit_159941000008201790,HR Round (Offline),Raj Pithadia,Zrecruit_159941000008098403,159941000007566275,Zrecruit_159941000008098475,Zrecruit_159941000008091248,19/02/2026 12:00 AM,19/02/2026 12:30 AM,Adhoc Interview,On-Hold,ACDM & PCDMS September 2025 Batch 2 - 514,,POC wants to interview other profiles and then take a call.,23/02/2026 12:06 AM
Zrecruit_159941000008201663,Telephonic Interview,Raj Pithadia,Zrecruit_159941000000615473,159941000008053079,Zrecruit_159941000008021341,Zrecruit_159941000008053085,18/02/2026 12:00 AM,18/02/2026 12:30 AM,Adhoc Interview,Rejected,ACDM & PCDMS August 2025 Batch 2 - 508,,Wants minimum 6 months experience in SEO.,23/02/2026 12:03 AM
Zrecruit_159941000008195391,Telephonic Interview,Raj Pithadia,Zrecruit_159941000008112434,159941000007390550,Zrecruit_159941000008112442,Zrecruit_159941000008127334,20/02/2026 02:00 PM,20/02/2026 02:30 PM,Adhoc Interview,Rejected,ACDM & PCDMS September 2025 Batch 2 - 514,,Call not asnwered.,21/02/2026 02:27 PM
Zrecruit_159941000008195323,Telephonic Interview,Raj Pithadia,Zrecruit_159941000008112434,159941000007566275,Zrecruit_159941000008112442,Zrecruit_159941000008127337,20/02/2026 02:00 PM,20/02/2026 02:30 PM,Adhoc Interview,Rejected,ACDM & PCDMS September 2025 Batch 2 - 514,,Call not answered.,21/02/2026 02:24 PM
Zrecruit_159941000008185213,HR Round (Offline),Dania Assadi,Zrecruit_159941000007199370,159941000007566275,Zrecruit_159941000008110903,Zrecruit_159941000008127410,21/02/2026 12:00 PM,21/02/2026 12:30 PM,In-person Interview,Hired,ACDM & PCDMS September 2025 Batch 2 - 514,,hired,20/02/2026 01:37 PM
Zrecruit_159941000008181333,Assignment Round,Dania Assadi,Zrecruit_159941000002422397,159941000007724589,Zrecruit_159941000008096899,Zrecruit_159941000008075263,21/02/2026 04:30 PM,21/02/2026 05:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,19/02/2026 07:09 PM
Zrecruit_159941000008181310,Online Interview,Dania Assadi,Zrecruit_159941000002422397,159941000007724589,Zrecruit_159941000008096899,Zrecruit_159941000008075263,19/02/2026 02:30 PM,19/02/2026 03:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,19/02/2026 07:09 PM
Zrecruit_159941000008171918,Assignment Round,Dania Assadi,Zrecruit_159941000008009100,159941000007390550,Zrecruit_159941000008012009,Zrecruit_159941000008041708,21/02/2026 05:00 PM,21/02/2026 05:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,19/02/2026 06:30 PM
Zrecruit_159941000008166008,Technical Round,Aanchal Sharma,Zrecruit_159941000007202864,159941000007724589,Zrecruit_159941000008012492,Zrecruit_159941000008037395,20/02/2026 05:30 PM,20/02/2026 06:30 PM,In-person Interview,,ACDM & PCDMS September 2025 Batch 2 - 514,,,19/02/2026 11:59 AM
Zrecruit_159941000008149131,HR Round (Offline),Dania Assadi,Zrecruit_159941000008009100,159941000007390550,Zrecruit_159941000008012009,Zrecruit_159941000008041708,19/02/2026 01:00 PM,19/02/2026 01:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,18/02/2026 01:37 PM
Zrecruit_159941000008149096,HR Round (Offline),Dania Assadi,Zrecruit_159941000008009100,159941000007566275,Zrecruit_159941000008012009,Zrecruit_159941000008041711,19/02/2026 01:30 PM,19/02/2026 02:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,18/02/2026 01:37 PM
Zrecruit_159941000008147081,HR Round (Offline),Raj Pithadia,Zrecruit_159941000008098403,159941000007566275,Zrecruit_159941000008098475,Zrecruit_159941000008091248,18/02/2026 02:00 PM,18/02/2026 02:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,18/02/2026 11:23 AM
Zrecruit_159941000008113263,Technical Round,Aanchal Sharma,Zrecruit_159941000007202864,159941000007724589,Zrecruit_159941000008012492,Zrecruit_159941000008037395,17/02/2026 12:00 PM,17/02/2026 01:00 PM,In-person Interview,,ACDM & PCDMS September 2025 Batch 2 - 514,,,16/02/2026 01:37 PM
Zrecruit_159941000008100724,Telephonic Interview,Vidhi Yelkar,Zrecruit_159941000000801289,159941000007291071,Zrecruit_159941000008064650,Zrecruit_159941000008054813,12/02/2026 4:00 PM,12/02/2026 4:30 PM,Adhoc Interview,Move to Next Round/Process,ACDM & PCDMS August 2025 Batch 2 - 508,,online interview to be schedule,12/02/2026 7:40 PM
Zrecruit_159941000008100693,Assignment Round,Riddhi Rane,Zrecruit_159941000002934413,159941000007724589,Zrecruit_159941000008039856,Zrecruit_159941000008041360,13/02/2026 04:00 PM,13/02/2026 04:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,12/02/2026 7:31 PM
Zrecruit_159941000008098075,Online Interview,Gemini Patel,Zrecruit_159941000000619745,159941000007724589,Zrecruit_159941000008012249,Zrecruit_159941000008041459,13/02/2026 02:30 PM,13/02/2026 03:00 PM,In-person Interview,Rejected,ACDM & PCDMS September 2025 Batch 2 - 514,,na,12/02/2026 6:02 PM
Zrecruit_159941000008085968,HR Round (Offline),Riddhi Rane,Zrecruit_159941000002934413,159941000007390550,Zrecruit_159941000008039856,Zrecruit_159941000008041362,12/02/2026 5:00 PM,12/02/2026 5:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,12/02/2026 1:11 PM
Zrecruit_159941000008085947,Telephonic Interview,Riddhi Rane,Zrecruit_159941000002934413,159941000007390550,Zrecruit_159941000008039856,Zrecruit_159941000008041362,11/02/2026 6:30 PM,11/02/2026 7:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,12/02/2026 1:10 PM
Zrecruit_159941000008085741,HR Round (Offline),Riddhi Rane,Zrecruit_159941000002934413,159941000007724589,Zrecruit_159941000008039856,Zrecruit_159941000008041360,12/02/2026 5:00 PM,12/02/2026 5:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,12/02/2026 11:48 AM
Zrecruit_159941000008085724,Telephonic Interview,Riddhi Rane,Zrecruit_159941000002934413,159941000007724589,Zrecruit_159941000008039856,Zrecruit_159941000008041360,11/02/2026 6:30 PM,11/02/2026 7:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,12/02/2026 11:47 AM
Zrecruit_159941000008077592,Online Interview,Vidhi Yelkar,Zrecruit_159941000000795953,159941000007729331,Zrecruit_159941000008077549,Zrecruit_159941000008077570,11/02/2026 12:00 PM,11/02/2026 12:30 PM,Adhoc Interview,On-Hold,ACDM & PCDMS September 2025 Batch 2 - 514,,Awaiting response from the HR,11/02/2026 8:09 PM
Zrecruit_159941000008075740,Telephonic Interview,Dania Assadi,Zrecruit_159941000000623843,159941000007291071,Zrecruit_159941000008027351,Zrecruit_159941000008041202,13/02/2026 05:00 PM,13/02/2026 06:00 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,13/02/2026 04:24 PM
Zrecruit_159941000008075644,Telephonic Interview,Dania Assadi,Zrecruit_159941000000623843,159941000007729331,Zrecruit_159941000008027351,Zrecruit_159941000008041200,13/02/2026 05:00 PM,13/02/2026 06:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,13/02/2026 04:22 PM
Zrecruit_159941000008075621,Telephonic Interview,Dania Assadi,Zrecruit_159941000000623843,159941000007566275,Zrecruit_159941000008027351,Zrecruit_159941000008041201,13/02/2026 05:00 PM,13/02/2026 06:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,13/02/2026 04:22 PM
Zrecruit_159941000008075598,Telephonic Interview,Dania Assadi,Zrecruit_159941000000623843,159941000007390550,Zrecruit_159941000008027351,Zrecruit_159941000008041196,13/02/2026 02:30 PM,13/02/2026 03:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,13/02/2026 04:21 PM
Zrecruit_159941000008064973,HR Round (Offline),Raj Pithadia,Zrecruit_159941000000612642,159941000007291071,Zrecruit_159941000006186703,Zrecruit_159941000007706455,12/02/2026 4:00 PM,12/02/2026 4:30 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,11/02/2026 6:33 PM
Zrecruit_159941000008037323,Telephonic Interview,Aanchal Sharma,Zrecruit_159941000007559774,159941000007258288,Zrecruit_159941000007559780,Zrecruit_159941000007569373,10/02/2026 12:00 PM,10/02/2026 1:00 PM,Adhoc Interview,Move to Next Round/Process,ACDM & PCDMS August 2025 Batch 1 - 506,,next round,10/02/2026 5:45 PM
Zrecruit_159941000008037295,Telephonic Interview,Aanchal Sharma,Zrecruit_159941000007559774,159941000007258288,Zrecruit_159941000007559780,Zrecruit_159941000007569373,10/02/2026 12:00 PM,10/02/2026 1:00 PM,Adhoc Interview,Move to Next Round/Process,ACDM & PCDMS August 2025 Batch 1 - 506,,next round,10/02/2026 5:45 PM
Zrecruit_159941000007989955,Telephonic Interview,Raj Pithadia,Zrecruit_159941000000612642,159941000007291071,Zrecruit_159941000006186703,Zrecruit_159941000007706455,06/02/2026 6:00 PM,06/02/2026 7:00 PM,Adhoc Interview,Rescheduled,ACDM & PCDMS August 2025 Batch 2 - 508,,Not answered,06/02/2026 6:38 PM
Zrecruit_159941000007989933,Telephonic Interview,Raj Pithadia,Zrecruit_159941000000612642,159941000007291071,Zrecruit_159941000006186703,Zrecruit_159941000007706455,06/02/2026 6:00 PM,06/02/2026 7:00 PM,Adhoc Interview,Rescheduled,ACDM & PCDMS August 2025 Batch 2 - 508,,Not answered,06/02/2026 6:37 PM
Zrecruit_159941000007575157,Online Interview,Gemini Patel,Zrecruit_159941000000606348,159941000007566275,Zrecruit_159941000007442611,Zrecruit_159941000007570623,04/02/2026 3:30 PM,04/02/2026 4:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,03/02/2026 7:10 PM
Zrecruit_159941000007466211,Telephonic Interview,Gemini Patel,Zrecruit_159941000007194048,159941000007258288,Zrecruit_159941000007211415,Zrecruit_159941000007255335,20/01/2026 11:00 AM,20/01/2026 11:30 AM,Adhoc Interview,On-Hold,ACDM & PCDMS August 2025 Batch 1 - 506,,awaiting feedback from HR.,27/01/2026 11:43 AM
Zrecruit_159941000007421243,HR Round (Offline),Dania Assadi,Zrecruit_159941000005070759,159941000007291071,Zrecruit_159941000007381260,Zrecruit_159941000007394325,23/01/2026 01:30 PM,23/01/2026 02:00 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,22/01/2026 06:51 PM
Zrecruit_159941000007332083,Assignment Round,Gemini Patel,Zrecruit_159941000007194048,159941000007258288,Zrecruit_159941000007211415,Zrecruit_159941000007255335,16/01/2026 05:00 PM,18/01/2026 05:30 PM,In-person Interview,Move to Next Round/Process,ACDM & PCDMS August 2025 Batch 1 - 506,,call to be aligned with Founder.,17/01/2026 03:42 PM